CPU,GPU,Memory,GPU_cores,inference_latency,accuracy,prediction_confidence
0.4,4.919,55.5,2,2.05E-05,0.84,6.629722656
0.7,4.919,55.8,2,2.04E-05,0.84,6.659722656
0.6,4.919,55.8,2,2.02E-05,0.84,6.649722656
0.6,4.919,55.8,2,1.93E-05,0.84,6.654605469
8,4.919,55.8,2,1.99E-05,0.84,7.389722656
4.4,4.919,55.5,2,2.07E-05,0.84,7.023619141
2.9,4.919,55.7,2,1.96E-05,0.84,6.853853516
0.7,4.919,55.7,2,1.93E-05,0.84,6.633853516
0.5,4.9194335,53.2,1,2.29E-05,0.84,6.38094336
0.6,4.9194335,53.2,1,1.57E-05,0.84,6.39094336
0.6,4.9194335,53.2,1,1.64E-05,0.86,6.390943359
0.6,4.9194335,53.2,1,1.58E-05,0.86,6.390943359
0.4,4.9194335,53.2,1,1.57E-05,0.86,6.375826172
0.7,4.9194335,53.2,1,1.50E-05,0.86,6.404605469
1.6,4.9194335,53.2,1,1.62E-04,0.86,6.490943359
0.9,4.9194335,53.2,1,1.60E-05,0.86,6.420993359
0.7,4.9194335,53.2,1,1.90E-05,0.86,6.400943359
0.4,4.9194335,53.2,1,1.90E-05,0.86,6.410943359
2.3,4.9194335,53.2,1,1.48E-05,0.86,6.550943359
5.3,4.9194335,53.2,1,1.50E-05,0.9,6.860993359
1,4.9194335,53.2,1,1.55E-05,0.9,6.370943359
1.1,4.9194335,53.2,1,1.56E-05,0.9,6.444605469
1.6,4.9194335,53.2,1,1.86E-05,0.9,6.480943359
2.4,4.9194335,53.2,1,2.01E-05,0.9,6.57094336
7.6,4.9194335,53.2,1,1.86E-05,0.9,7.090943359
3,4.9194335,53.2,1,1.54E-05,0.9,6.390943359
1.7,4.9194335,53.2,1,1.82E-05,0.9,6.528501953
